title,slug,description,rating,numchapters,numimages,updated_at,serialization,status,link,category,author,artist,genres
My School Life Pretending To Be a Worthless Person,my-school-life-pretending-to-be-a-worthless-person,"Mankind discovered the essence of the human soul, Edeya, and were achieving materialization.Society was built around Edeya, which was invulnerable to conventional weapons. Humanity started to place all their focus into the combat power of Edeya.Park Jinsung, the main character, possessed an F-rank soul and F-rank combat power. After the introduction of a poor military program to his high school and the Edeya rank system, Park Jinsung became one of the weak, and suffered under his peers' contempt for 10 years...However, in reality, the Edeya he had awakened was actually the S-rank ""Absolute Killing Intent"".Park Jinsung was greatly disturbed by the fact that the essence of his soul revolved around the thought of killing others, and continued to live his life while thinking of himself as a worthless F-rank.Will Park Jinsung, with a soul for killing, be able to get his killing intent under control and prove that there are no ranks to one's soul?",9.8,1,2,2025-05-21,_,dropped,https://asuracomic.net/series/my-school-life-pretending-to-be-a-worthless-person-bcb36bd0,Manhwa,Sandfairy,Terapin Studio / todac_s,"['Adventure', 'Action', 'Fantasy', 'Crazy MC', 'Shounen']"
Boundless Necromancer,boundless-necromancer,"[By the studio that brought you  and !] I never thought I could become a hunter.I never thought I'd get the chance.But that wasn't the case.「 The 'Tower of Trials' has selected all suitable candidates from Earth. 」「 Please select your difficulty. 」「 The rewards you get will be directly proportional to your chosen difficulty. 」I was given a chance just now.A special one, at that.",9.8,1,1,2025-05-21,_,ongoing,https://asuracomic.net/series/boundless-necromancer-6905f93c,Manhwa,syaiatan/Seonwoon,2love/Redice Studio,"['Adventure', 'Action', 'Fantasy', 'Necromancer']"
Heavenly Grand Archive's Young Master,heavenly-grand-archives-young-master,"[By the studio that brought you !] The soul of the charming and imposing Murim Alliance Leader, Hu Gong, suddenly possesses the body of a darn young man's body one day.That young man's name is Beom Hang. He's the young master of the 'Heavenly Grand Archive', one of the three major archives of the Jianghu, yet a sorry excuse of a person.In order to determine why his soul has swapped bodies, Hu Gong begins to train Beom Hang's body. When the possessed young master of the Heavenly Grand Archive's movements are totally different from how they used to be, it starts to attract the attention of the Jianghu...",9.6,1,1,2025-05-21,_,ongoing,https://asuracomic.net/series/heavenly-grand-archives-young-master-338c0074,Manhwa,_,Midnight Studio,"['Adventure', 'Action', 'Comedy', 'Fantasy', 'Martial Arts', 'Murim']"
Night of the Soulless Heathens,night-of-the-soulless-heathens,"[By the Studio that brought you }The Herald Clan is a clan of untouchables, persecuted as soulless heretics. In order to break free of the curse they've inherited, they roamed the continent in order to gather the Emperor's Golden Coins. And even amongst the heretics, Azadin bore the worst curse. Having zero talent for magic, he became the lowest-ranked herald with the skills he was taught by an elder. He roamed the continent, granting wishes for contractors in exchange for the Emperor's Golden Coins. Then, a grimoire capable of realizing the clan's wishes appears, and his twin sister Arael's rebellion slowly unravels a great conspiracy that's been hidden all along... How will the heretic Azadin resist the coming destruction?",9.8,1,2,2025-05-21,_,ongoing,https://asuracomic.net/series/night-of-the-soulless-heathens-058138a6,Manhwa,Hong Junghoon,Studio Inus,"['Adventure', 'Action', 'Fantasy']"
Villain To Kill,villain-to-kill,"After being accused of murdering a colleague, Cassian Lee came to his death. The moment he thought it was all over, his soul was suddenly possessed by a boy's body and he awakens as a villain.",9.4,1,1,2025-05-21,_,ongoing,https://asuracomic.net/series/villain-to-kill-70103490,Manhwa,_,_,"['Action', 'Fantasy', 'Hero', 'Rebirth']"
Magic Academy's Genius Blinker,magic-academys-genius-blinker,"[By the Studio that brought you {Murim Login}!} The character with the highest difficulty and the worst performance, Baek Yuseol, was considered a trash character in-game because he could not use magic in a fantasy setting where everyone else could. However… [Because the wrong ending has been reached, 90% of Aether World has been destroyed.] [Please reach the ""True Ending.""] Suddenly, those words echoed in my mind before I was transmigrated to the Aether World. [You can use the skill ""Blink.""] “Just why did I possess this character?” Blink was the only magic skill I had. Surviving in Stella Academy among genius mages, I became the notorious Blink Mage.",9.8,1,2,2025-05-21,_,ongoing,https://asuracomic.net/series/magic-academys-genius-blinker-04464a29,Manhwa,Eunmilhi,Seoyu,"['Adventure', 'Action', 'Fantasy', 'Genius MC', 'Supernatural', 'School Life']"
Murim Login,murim-login,"An era where hunters thrive on hunting monsters that come from Gates. Jin Tae-Kyung is a low-rank hunter who picks up a VR machine, and accidentally logs into the game, which is set in the world of Martial Arts. After many ups and downs, Tae-Kyung is able to escape this world. The strength and skills, which he received in the Murim were able to be carried over back to the real world. This allows him to continue making a living a hunter… but he decides to return back to the world of Murim, out of care for his NPC friends.",9.9,1,1,2025-05-21,_,ongoing,https://asuracomic.net/series/murim-login-7d3d0f77,Manhwa,Zerobic,Jang Cheol-Byuk,"['Adventure', 'Action', 'Seinen', 'Comedy', 'Fantasy', 'Martial Arts']"
The Demon Faction’s Return,the-demon-factions-return,"In an effort to escape the power struggle within the Heavenly Demon Sect, the protagonist Myeong-un retreats to a life of seclusion. However, simply avoiding ambition for the throne is not enough to avert tragedy. Myeong-un flees from the sect leader Myeong-gak, who seeks fratricide, before meeting his demise. At the moment of his death, as his consciousness fades, he hears a voice. ""Do you regret it? Do you wish to fight again?"""" To his surprise, Myeong-un, believed to be dead, opens his eyes once more....",9.7,1,1,2025-05-21,_,ongoing,https://asuracomic.net/series/the-demon-factions-return-d89ccadf,Manhwa,Team the J/ Han Yurim,MISANG,"['Adventure', 'Action', 'Martial Arts', 'Murim']"
The Illegitimate Who Devours Weapons,the-illegitimate-who-devours-weapons,"[By the Studio that brought you The peak of strength in South Korea is the Esteemed Martial Lee Clan. In that martial clan, Lee Cheol was looked down on and chased out because of his status as an illegitimate child. In order to survive, he lived in shadows, but he was chased down and killed because of his family's schemes. He was then granted a second chance—regression. Using his ""ability to absorb the memories of a weapon"" as a foundation, Lee Cheol would train and go down a path of struggle. Persistent competition and schemes regarding the right to inheritance, attacks from other races and monsters in dangerous, unexplored lands, and even local clashes related to his family's internal struggles... His growth would bring about these things, bringing hardship upon Lee Cheol. Life itself would be a struggle for Lee Cheol, and this is his destiny. But in order to protect himself and his surroundings—in order to protect everything—as the fight continues, he'll unravel secrets from his past life, one by one...!",9.6,1,2,2025-05-21,_,ongoing,https://asuracomic.net/series/the-illegitimate-who-devours-weapons-5dd5ac60,Manhwa,_,_,"['Adventure', 'Regression', 'Action', 'Fantasy', 'Martial Arts']"
Somebody Stop the Pope,somebody-stop-the-pope,"I was the pope, and spent 10 years saving the world from the brink of annihilation. I faced and overcame death countless times to save the world and barely returned to Earth, but then... [Warning! If you do not reach the required number of believers in 90 days, your system will restart!] ""...Excuse me?"" ""Yes?"" ""...I've come to spread the word of God.""",9.5,1,2,2025-05-21,_,dropped,https://asuracomic.net/series/somebody-stop-the-pope-94a69c5b,Manhwa,_,_,"['Adventure', 'Action', 'Fantasy', 'Supernatural']"
